countryName,ClimateChange,BetterTransport,SupportWork,AccessWater,BetterHealthcare,GoodEducation,ResponsiveGovernment,PhoneInternet,ReliableEnergy,AffordableFood,ProtectingForests,PoliticalFreedoms,ProtectionCrime,FreedomDiscrimination,Equality,BetterJob,Continent,Population
Uganda,15,7,14,3,1,2,5,12,16,8,10,6,13,9,11,4,Africa,53470.42
Ukraine,15,6,10,7,2,3,1,12,13,8,9,5,14,11,16,4,EUROPE,44823.765
United Arab Emirates,16,14,10,6,2,1,3,12,15,7,11,4,13,8,9,5,Asia,9156.963
United Kingdom,9,15,14,2,7,1,4,16,13,3,8,5,12,6,10,11,Africa,53470.42
United Republic of Tanzania,16,14,12,6,3,1,7,8,15,5,11,4,13,10,9,2,Africa,53470.42
United States,10,16,14,4,5,1,2,15,13,3,7,9,12,6,8,11,North America,321773.631
Uruguay,8,16,13,4,6,1,7,15,14,2,5,3,12,11,10,9,South America,3431.555
Uzbekistan,15,11,9,6,2,1,3,14,12,10,8,5,16,7,13,4,North America,321773.631
Vanuatu,9,10,14,3,2,1,6,14,16,7,11,8,12,12,5,4,Austrailaia ,264.652
"Venezuela, Bolivarian Republic of",11,13,14,9,4,1,3,16,15,6,7,2,8,10,12,5,Austrailaia ,264.652
Viet Nam,7,8,13,10,2,1,3,15,16,12,6,4,14,11,9,5,Asia,93447.601
Yemen,16,13,8,7,5,2,3,9,14,4,15,6,12,11,10,1,Asia,26832.215
Zambia,14,8,5,4,3,1,7,15,10,6,16,9,13,12,11,2,Africa,16211.767
Zimbabwe,16,9,12,4,2,1,5,15,11,7,14,6,10,8,13,3,Africa,15602.751
